Bought Item,Confidence,Expected To Be Bought,Lift,Support,_id
Plain Naan,0.646341463414634,Mango Chutney,4.185131264072427,0.0039561095767709185,199
Lime Pickle,0.4575342465753425,Mango Chutney,4.048603897866489,0.012465477345674405,200
Lime Pickle,0.21643835616438356,Mango Chutney,8.60422747042803,0.005896842576696275,201
Lime Pickle,0.4986301369863014,Mint Sauce,4.566061479976404,0.013585130999477495,202
Lime Pickle,0.18356164383561643,Mint Sauce,6.575335140282763,0.005001119653653803,203
Lime Pickle,0.27945205479452057,Onion Chutney,7.799623287671234,0.007613644845861013,204
Lime Pickle,0.15068493150684933,Mint Sauce,7.4217868654311046,0.004105396730611331,205
Lime Pickle,0.2082191780821918,Pilau Rice,4.484746509271903,0.0056729118459356576,206
Lime Pickle,0.12328767123287672,Mint Sauce,3.8954833290255886,0.0033589609614092706,207
Lime Pickle,0.4109589041095891,Mint Sauce,5.0836716882328385,0.011196536538030903,208
Lime Pickle,0.22465753424657536,Mint Sauce,8.383668485519138,0.006120773307456894,209
Lime Pickle,0.4191780821917808,Onion Chutney,5.441597642561325,0.01142046726879152,210
Lime Pickle,0.2958904109589041,Red Sauce,5.960968173859306,0.00806150630738225,211
Lime Pickle,0.11506849315068493,None,3.373244207307934,0.0031350302306486525,212
Lime Pickle,0.1589041095890411,Onion Chutney,7.192021473528324,0.004329327461371949,213
